순번,년도,공사번호,유형,유형ID,1,주공사 공사명,"연면적
(㎡)","대지면적
(㎡)","건축면적
(㎡)","조경면적
(㎡)","기준층 층고
(m)","최고높이
(m)",최대지하 층 수,최대지상 층 수,공사일 수,주차대수,내진등급,건축,기계,토목,조경,전기,통신,소방,합계,,가설공사,기초공사,철근콘크리트공사,철골공사,조적공사,방수공사,석공사,타일공사,금속공사(지붕및홈통공사 포함),미장공사,창호및유리공사,목공사및수장공사(인테리어공사 포함),도장공사,해체및 철거공사,폐기물처리비,골재비및운반비,작업부산물,품질시험비,기타공사,기계소계,전기소계,통신소계,소방소계,토목소계,조경소계,총 공사비,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,2016,2016_10089,연구시설,2,,경주출토유물보관센터 건립공사(건축-1차),3935.43,0,0,0,0,0,0,0,450,0,0,"6,271,893,106","466,782,516","398,434,461","313,680,320","977,113,553","543,203,816","480,557,017","9,451,664,789",,"7,221,071.90", -   ,"14,848,565.38", -   ,"1,578,428.02","2,769,337.78","1,096,393.12","387,518.26","8,629,369.95","3,686,149.27","5,680,450.54","12,996,039.08","2,362,916.20", -   , -   ,"500,938.23","-28,354.99","113,419.98","75,613.32","6,238,098.76","6,672,875.34","3,289,179.35","6,238,098.76","5,529,223.90","4,612,412.42","9,451,664,789",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,2016,2016_10090,연구시설,2,,광주 바이오에너지 연구개발센터 건설사업(건축),5113.98,100506,2648.6,12850.2,4.8,23.7,1,3,480,55,자료없음,"7,081,427,281","3,185,244,554","472,639,116","523,020,325","2,144,263,613","958,748,688","311,455,766","14,676,799,343",,"7,719,996.45","1,746,539.12","20,312,690.29","3,786,614.23","2,832,622.27","3,992,089.42","5,606,537.35","1,364,942.34","8,585,927.62","2,098,782.31","5,988,134.13","9,363,797.98","1,335,588.74", -   , -   ,"851,254.36","-58,707.20", -   ,"631,102.37","24,363,486.91","18,947,747.95","8,439,159.62","4,124,180.62","6,824,711.69","7,940,148.44","14,676,799,343",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,2016,2016_10091,연구시설,2,,순창군 친환경농업연구센터 건립사업 건축공사,3807.56,0,0,0,0,0,1,2,360,0,0,"4,601,933,000", - , - , - ,"458,361,000","157,267,000","84,245,000","5,301,806,000",, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"5,301,806,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,2016,2016_10092,연구시설,2,,가축유전자원센터 이전사업,27020,3195.177,22304.3,0,0,16.8,1,4,720,142,자료없음,"23,493,115,730","5,155,885,468","25,174,567,179","692,164,477","6,614,610,961","3,583,123,522","1,215,783,932","65,929,251,269",,"14,372,576.78","8,504,873.41","40,744,277.28","37,711,531.73","7,054,429.89","10,087,175.44","6,790,712.88","1,450,443.53","73,642,973.67","3,692,038.07","10,087,175.44","12,724,345.49","3,032,745.56", -   , -   ,"3,296,462.56","-329,646.26", -   ,"5,010,623.10","58,479,245.88","56,039,863.58","28,679,224.30","13,713,284.26","255,014,343.91","9,625,670.69","65,929,251,269",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,2016,2016_10093,연구시설,2,,그린에너지연구관 신축 공사,9970.75,4972,1766.04,12758.47,3.9,43.2,0,10,1440,42,내진등급 - 내진설계1등급,"10,194,210,950","2,268,080,016","1,456,876,741","134,232,208","2,871,616,802","1,145,779,288","533,710,094","18,604,506,099",,"13,618,498.46","167,440.55","29,599,769.20","1,395,337.96","4,669,731.03","3,311,602.09","18,827,760.17","2,753,466.90","5,172,052.70","4,613,917.51","10,641,777.49","14,492,910.25","1,786,032.59", -   , -   ,"986,038.82","-74,418.02", -   ,"2,232,540.73","16,818,473.51","17,413,817.71","7,590,638.49","7,181,339.35","20,818,442.32","2,027,891.16","18,604,506,099",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,2016,2016_10094,연구시설,2,,광주식약청 별관 실험동 증축공사(건축),1783.63,6611.4,841.41,1046.72,4.3,13.95,1,3,300,59,자료없음,"2,439,943,000", - , - , - ,"612,990,000","151,313,000","49,956,000","3,254,202,000",, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"3,254,202,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,2016,2016_10095,연구시설,2,,국립환경과학원 왜관수질안전측정센터 증축 건축공사,221.55,0,0,0,0,0,1,2,210,0,0,"617,087,000", - , - , - ,"86,965,000","25,586,000","8,653,370","738,291,370",, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"738,291,370",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,2016,2016_10096,연구시설,2,,목초종자 비료 보관시설 증축공사,325,180095,325,0,0,8.75,0,1,120,5,내진등급 - 내진설계1등급,"421,323,000", - , - , - ,"57,211,000", - , - ,"478,534,000",, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"478,534,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,2016,2016_10097,연구시설,2,,가야출토유물보관센터 건립공사(건축),1809.12,2878.5,1157.66,481,3.6,17.57,1,4,540,45,내진등급 - 내진설계1등급,"2,926,000,568","220,229,412","267,034,119","20,130,093","493,192,522","121,290,889","99,190,088","4,147,067,691",,"2,276,740.16", -   ,"8,140,693.88","120,264.96","468,618.65","1,281,443.92","846,001.81","170,029.78","2,737,064.68","692,560.30","1,273,149.78","2,347,240.31","1,082,384.67","240,529.93", -   ,"174,176.84", -   , -   ,"6,473,572.67","3,114,447.84","3,118,594.90","1,526,120.91","1,339,502.86","3,748,949.19","294,441.81","4,147,067,691",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,2016,2016_10098,연구시설,2,,기초과학연구원 본원1차 건립사업,72409.31,200640.6,22710.43,100096.4,0,25.85,1,7,540,602,내진등급 - 내진설계특등급,"106,368,183,382","32,127,583,792","3,882,714,655","5,062,870,934","21,549,660,743","10,724,719,953","6,601,120,211","186,316,853,670",,"57,012,957.22","16,768,516.83","122,969,123.42","13,228,496.61","11,365,328.07","27,202,260.64","7,825,307.85","9,502,159.54","132,284,966.11","5,962,139.32","66,142,483.05","180,913,664.91","18,818,002.22","7,638,991.00", -   ,"3,726,337.07", -   , -   ,"82,910,999.88","453,681,538.69","282,456,350.16","146,072,413.28","88,500,505.49","55,895,056.10","72,290,939.22","186,316,853,670",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,2016,2016_10099,연구시설,2,,KCL 표준암실시험동 증축공사,704.14,10073.5,380.68,0,4.9,16.4,0,2,120,0,자료없음,"1,097,261,000", - , - , - ,"104,346,000","24,629,000","12,342,000","1,238,578,000",, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"1,238,578,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,2016,2016_10100,연구시설,2,,"제조로봇 토탈솔루션 테스트플랜트 건축공사(건축,토목,조경,설비)",4346.86,9900,2575.84,2117.7,4.2,15.4,0,3,365,36,자료없음,"4,894,532,647","448,691,285","377,700,983","372,929,944","1,401,947,046","308,960,284","235,967,714","8,040,729,903",,"3,795,224.51","1,246,313.13","10,999,718.51","5,588,307.28","3,811,305.97","1,849,367.88","2,589,115.03","450,280.87","2,613,237.22","1,391,046.27","3,505,758.24","14,360,743.61","2,492,626.27", -   , -   ,"627,176.93", -   , -   ,"136,692.41","2,709,725.98","7,863,833.85","2,910,744.22","3,119,803.20","2,757,970.36","5,580,266.55","8,040,729,903",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,2016,2016_10101,연구시설,2,,친환경전지융합 실증화단지 건립공사(건축),3799.96,6610.08,1482.53,1017.53,4.5,17.4,1,3,518,74,자료없음,"4,180,591,996","1,192,643,497","367,937,771","192,163,283","1,623,379,615","518,353,124","174,954,404","8,250,023,690",,"4,834,513.88","181,500.52","7,738,522.22","1,864,505.35","1,443,754.15","2,021,255.80","1,295,253.72","280,500.81","8,555,274.57","1,056,003.03","3,135,009.00","5,313,015.26","1,419,004.07", -   , -   ,"470,251.35", -   ,"66,000.19","1,014,752.91","15,361,544.11","11,236,532.27","5,989,517.20","2,136,756.14","4,479,762.86","2,590,507.44","8,250,023,690",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,2016,2016_10102,연구시설,2,,"한국한의학연구원 전남센터 건립공사 (건축, 토목, 조경, 기계공사)",6105.76,16361.46,2231.84,5872.88,0,14.95,1,3,540,75,내진등급 - 내진설계1등급,"7,550,491,857","2,158,307,938","754,589,627","500,986,679","2,043,758,558","759,622,516","299,611,305","14,067,368,480",,"12,126,071.63", -   ,"23,295,562.20","168,808.42","3,333,966.33","5,134,589.50","2,250,778.96","1,744,353.69","7,089,953.71","2,532,126.33","6,850,808.45","13,082,652.69","2,081,970.54", -   , -   ,"506,425.27","-84,404.21", -   ,"225,077.90","16,093,069.54","16,444,753.75","8,159,073.72","3,685,650.54","8,398,218.98","7,554,176.87","14,067,368,480",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,2016,2016_10103,연구시설,2,,혁신제약임상연구동 신축공사,4598.2,975496.7,1308.96,123421,3.9,25.1,1,4,720,23,내진등급 - 내진설계1등급,"6,875,139,833","1,260,264,514","745,530,574", - ,"1,299,386,057","298,745,290","166,230,562","10,645,296,830",,"8,580,109.24", -   ,"17,192,154.38","234,196.53","2,586,807.13","2,192,931.15","2,778,422.47","1,724,538.09","16,329,885.34","1,841,636.35","8,878,177.56","7,728,485.50","2,033,251.69", -   ,"85,162.37","862,269.04","-42,581.19", -   ,"255,487.12","9,218,827.05","9,123,019.38","2,821,003.66","2,065,187.59","9,963,997.83", -   ,"10,645,296,830",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,2016,2016_10104,연구시설,2,,KTC충북혁신도시 ESS사업 및 전자파시험센터 구축공사(건축),9269.19,29882.8,5327.19,2650.59,7.8,24.5,1,3,300,42,자료없음,"13,406,906,088","2,367,230,984","2,011,751,718","686,158,995","5,364,128,849","757,630,732","717,321,532","25,311,128,898",,"19,464,258.12","9,846,029.14","25,640,173.57","2,910,779.82","2,556,424.02","7,137,738.35","658,089.35","278,422.42","19,666,747.15","3,695,424.82","19,793,302.80","12,478,386.55","4,986,292.39", -   ,"329,044.68","1,847,712.41","-75,933.39", -   ,"3,999,158.37","27,563,819.37","43,383,274.93","8,074,250.12","7,719,894.31","22,704,082.62","8,403,294.79","25,311,128,898",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,2016,2016_10105,연구시설,2,,"중대형 2차전지 시험인증센터 건축(기계, 토목(조경포함))",5435.32,0,0,0,0,0,0,0,300,0,0,"9,442,323,242","673,952,037","325,851,061","156,543,253","3,662,928,487","781,267,845","332,314,508","15,375,180,433",,"7,979,718.64","5,458,189.05","29,981,601.84","292,128.43","1,414,516.60","5,258,311.71","830,259.74","338,253.97","10,162,994.27","3,520,916.32","11,162,380.99","15,236,803.81","3,167,287.17", -   , -   ,"1,122,388.17", -   , -   ,"430,505.05","10,670,375.22","25,615,050.60","7,902,842.74","5,027,684.00","5,442,813.87","2,706,031.76","15,375,180,433",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,2016,2016_10106,연구시설,2,,"천연물신약연구소 신축공사(건축,토목)",3701.01,374113,902.32,자료없음,3.9,23.4,1,5,600,0,자료없음,"4,261,463,573","696,653,197","216,309,964","67,080,994","1,089,505,863","414,463,554","154,981,547","6,900,458,692",,"2,932,694.94","1,173,077.98","12,344,920.60", -   ,"6,527,833.92","1,014,367.43","3,919,460.54","669,344.49","4,285,184.85","1,849,322.93","5,596,272.00","4,782,017.87","1,580,205.04","27,601.83", -   ,"345,022.93","-48,303.21", -   ,"800,453.21","4,250,682.55","6,672,743.56","3,836,655.03","2,159,843.57","3,208,713.29","1,076,471.56","6,900,458,692",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,2016,2016_10107,연구시설,2,,철도완성차 안전시험연구시설 건설공사,12500,43323,7017.53,자료없음,4.2,24.4,1,5,420,65,자료없음,"17,342,396,977","1,706,409,423","1,337,321,230","314,746,023","2,366,578,803","1,516,835,575","551,352,649","25,135,640,680",,"8,646,660.39","10,205,070.12","33,757,165.43","34,662,048.50","1,131,103.83","2,966,005.60","779,204.86","226,220.77","14,025,687.50","1,885,173.05","7,213,928.88","15,885,724.91","1,181,375.11","301,627.69", -   ,"703,797.94","-201,085.13", -   ,"17,217,913.87","22,672,347.89","29,609,784.72","19,153,358.20","7,088,250.67","17,745,762.32","4,499,279.68","25,135,640,680",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,2016,2016_10108,연구시설,2,,실험동물자원은행 신축 건축공사,3742.36,6600,1922.8,1604.45,3.9,16.3,1,3,365,28,자료없음,"4,864,715,671","1,121,487,907","1,077,907,642","175,286,597","1,247,065,920","178,804,018","640,159,730","9,305,427,485",,"7,072,124.89", -   ,"14,739,797.14", -   ,"1,051,513.31","2,558,992.56","2,484,549.14","381,522.53","2,056,499.47","1,116,651.30","2,726,490.25","3,042,874.79","1,014,291.60", -   , -   ,"279,162.82","-27,916.28","65,137.99","1,293,454.42","15,567,980.18","9,175,151.50","2,177,470.03","8,560,993.29","15,084,097.95","2,624,130.55","9,305,427,485",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,2016,2016_10109,공장,1,,한방바이오기업연구타운 건립공사(건축),2401.7,9330.3,755.27,2028.46,4.2,18.45,1,3,240,51,자료없음,"2,342,346,000", - , - , - ,"334,710,000","127,964,000","58,506,000","2,863,526,000",, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"2,863,526,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,2016,2016_10110,창고,1,,부산지방조달청 비축창고 신축공사(긴급),6701.4,82041.96,6701.4,8309.28,0,11.7,0,1,270,0,자료없음,"6,654,066,344","90,872,210","550,806,640", - ,"481,791,249","293,953,638","572,007,257","8,643,497,338",,"2,696,771.17","10,951,311.13","4,477,331.62","27,399,886.56","155,582.95", -   , -   , -   ,"18,108,126.92","69,147.98","3,232,668.00","648,262.30","3,293,172.49","69,147.98", -   ,"216,087.43","-190,156.94","25,930.49","639,618.80","1,192,802.63","3,336,389.97","1,590,403.51","6,292,466.06","2,221,378.82", -   ,"8,643,497,338",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,2016,2016_10111,창고,1,,"밭작물 통합수납사(건조장) 신축공사(건축,기계)",828,0,0,0,0,0,0,1,90,0,0,"470,812,000", - , - , - ,"83,649,000", - , - ,"554,461,000",, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"554,461,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,2016,2016_10112,창고,1,,곡물저장고 증축(건축),399.61,13886,399.61,자료없음,6.2,6.2,0,1,120,0,자료없음,"251,098,110","1,395,682", - , - ,"45,815,069", - , - ,"298,308,861",,"81,140.01","40,570.01","156,612.15","551,871.39", -   ,"25,952.87", -   , -   ,"787,237.08","109,479.35","428,968.14","55,187.14","57,275.30","18,495.15","56,082.07","19,091.77","-2,983.09", -   ,"81,736.63","14,915.44","502,352.12", -   , -   , -   , -   ,"298,308,861",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,2016,2016_10113,기숙사,5,,충북대 부설고 기숙사 신축 공사 (건축),1708,30325,560.93,자료없음,3.5,4.25,0,4,240,9,자료없음,"2,050,126,000","344,393,000", - , - ,"318,513,000","150,947,000","72,380,000","2,936,359,000",, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"2,936,359,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,2016,2016_10114,기숙사,5,,부산대학교 양산캠퍼스 기숙사 신축공사,6985,12000,2164.29,3026.65,3.3,28.3,0,7,900,104,자료없음,"9,094,090,029","1,686,605,888","1,417,557,198","294,060,746","2,359,695,088","1,428,622,150","485,889,526","16,766,520,625",,"9,456,317.63","3,688,634.54","27,815,657.72", -   ,"2,732,942.86","5,298,220.52","938,925.16","1,257,489.05","4,929,357.06","5,600,017.89","14,016,811.24","12,709,022.63","855,092.55", -   , -   ,"922,158.63", -   , -   ,"9,053,921.14","15,156,934.65","14,218,009.49","14,938,969.88","6,723,374.77","12,893,454.36","4,476,661.01","16,766,520,625",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,2016,2016_10115,기숙사,5,,부산해사고등학교 승선생활관 증축공사(건축),972.94,62782.3,418.93,0,0,19.2,0,5,150,114,자료없음,"1,503,354,353","277,655,157", - , - ,"201,507,405","93,014,343","113,486,789","2,189,018,047",,"1,116,399.20","1,324,355.92","5,168,271.61", -   ,"1,103,265.10","387,456.19","229,846.89","499,096.11","969,734.99","599,790.94","1,819,074.00","1,004,759.28","553,821.57","232,035.91", -   ,"253,926.09", -   , -   ,"227,657.88","1,847,531.23","2,009,518.57","1,116,399.20","1,427,239.77", -   , -   ,"2,189,018,047",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,2016,2016_10116,노유자시설,5,,충북혁신도시 공동직장어린이집 신축공사 (건축),1449.7,0,0,0,0,0,1,2,210,0,0,"2,727,862,000", - , - , - ,"180,723,000","79,310,000","139,447,000","3,127,342,000",, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"3,127,342,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,2016,2016_10117,노유자시설,5,,가칭)푸름유치원 신축공사,5195.49,3300,1889.92,611.6,0,13.1,1,3,300,21,자료없음,"4,884,546,950","1,291,557,837","655,161,844","148,609,087","996,515,592","378,140,293","431,496,302","8,786,027,905",,"4,006,428.72","1,423,336.52","14,699,024.69","1,361,834.33","3,110,253.88","2,670,952.48","650,166.06","1,344,262.27","2,284,367.26","2,266,795.20","4,858,673.43","10,991,320.91","992,821.15", -   , -   ,"773,170.46","-35,144.11", -   ,"404,157.28","11,975,356.03","6,519,232.71","2,864,245.10","5,456,123.33","7,028,822.32","2,214,079.03","8,786,027,905",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,2016,2016_10118,노유자시설,5,,가칭) 지한유치원 교사 신축공사,2995.28,5159.53,1550.06,816.41,3.9,9.6,1,2,290,23,내진설계범주(D),"4,343,655,096","859,631,478","379,426,524","103,560,742","842,958,044","189,857,031","532,219,838","7,251,308,753",,"3,002,041.82","1,667,801.01","12,131,439.54","253,795.81","2,922,277.43","2,182,643.93","369,816.75","572,853.39","6,025,837.57","2,537,958.06","3,270,340.25","6,954,005.09","862,905.74", -   ,"79,764.40","340,811.51","-36,256.54", -   ,"768,638.73","7,207,800.90","6,250,628.15","1,834,581.11","6,917,748.55","4,880,130.79","1,530,026.15","7,251,308,753",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,2016,2016_10119,노유자시설,5,,(재)서울테크노파크 산업단지형 공동직장 어린이집 증축공사(건축분야),655.37,503528,264.12,자료없음,3.6,자료없음,0,3,150,3,자료없음,"1,407,341,000", - , - , - ,"199,271,000","37,442,000","66,198,000","1,710,252,000",, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"1,710,252,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274,2016,2016_10120,노유자시설,5,,가칭 기지유치원 신축공사,3416.58,5054,1931.07,1157.1,0,12.35,1,2,270,25,자료없음,"4,290,685,196","1,109,582,900","300,032,281","261,658,713","879,761,227","329,496,818","352,721,979","7,523,939,114",,"3,513,679.57","1,798,221.45","12,482,214.99", -   ,"3,671,682.29","2,550,615.36","1,128,590.87","895,348.75","2,392,612.64","1,896,032.66","3,340,628.97","8,005,471.22","955,540.27", -   ,"105,335.15","654,582.70","-22,571.82", -   ,"1,211,354.20","9,818,740.54","5,379,616.47","3,318,057.15","4,514,363.47","3,972,639.85","3,656,634.41","7,523,939,114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,2016,2016_10121,복지시설,7,,"망우경로복지관 신축공사(건축,기계설비)",981.79,482,240.13,72.8,3.2,자료없음,1,5,365,5,자료없음,"2,245,697,000", - , - , - ,"177,635,000","69,410,000","179,579,000","2,672,321,000",, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"2,672,321,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,2016,2016_10122,복지시설,7,,커뮤니티센터1 건립공사(건축),11734.92,11127,3503,2168,0,20,1,3,630,202,0,"15,480,839,141","4,320,155,137","1,601,103,368","797,215,205","2,371,837,815","1,671,768,033","851,591,679","27,094,510,378",,"16,473,462.31","2,953,301.63","38,013,598.06","7,478,084.86","3,441,002.82","11,515,166.91","2,492,694.95","5,012,484.42","23,788,980.11","2,601,073.00","14,603,941.09","25,143,705.63","5,066,673.44", -   , -   ,"1,327,631.01","-189,661.57", -   ,"4,497,688.72","41,237,844.80","14,170,428.93","9,916,590.80","11,162,938.28","17,692,715.28","12,571,852.82","27,094,510,378",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,2016,2016_10123,복지시설,7,,1-1생활권 복합커뮤니티센터(B) 건축공사,12075,8243,3522.18,2455.07,4.2,27.5,1,4,660,89,자료없음,"16,230,966,531","3,630,919,068","1,790,119,884","1,334,632,428","2,624,145,448","1,359,165,379","1,315,708,913","28,285,657,651",,"16,575,395.38", -   ,"40,250,490.84","4,016,563.39","2,969,994.05","9,758,551.89","7,269,414.02","3,111,422.34","17,141,108.54","5,430,846.27","12,049,690.16","18,951,390.63","3,450,850.23", -   , -   ,"2,234,566.95","-84,856.97","395,999.21","5,911,702.45","48,368,474.58","20,167,673.91","6,760,272.18","16,037,967.89","23,420,524.54","18,668,534.05","28,285,657,651",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,2016,2016_10124,복지시설,7,,3-3생활권 복합커뮤니티센터 건축공사,14213.46,8196,4267,3278,4.2,27.1,1,5,660,134,내진등급 - 내진설계1등급,"17,699,559,707","4,062,053,203","1,346,663,724","1,209,503,981","3,221,898,659","1,843,083,731","1,363,599,168","30,746,362,173",,"20,108,120.86", -   ,"44,520,732.43","10,361,524.05","4,550,461.60","14,911,985.65","2,982,397.13","2,736,426.23","16,510,796.49","5,196,135.21","14,112,580.24","42,245,501.63","2,367,469.89", -   , -   ,"768,659.05","-122,985.45", -   ,"4,242,997.98","35,635,033.76","24,535,597.01","10,699,734.04","17,064,231.01","16,787,513.75","17,248,709.18","30,746,362,173",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279,2016,2016_10125,복지시설,7,,2-2생활권 복합커뮤니티센터 건축공사,14100.27,8086,4045.91,2740.71,4.5,22.3,1,4,660,89,0,"15,622,992,292","5,195,124,759","2,054,583,697","1,090,263,487","3,250,899,794","1,772,456,108","1,480,635,242","30,466,955,379",,"12,003,980.42", -   ,"36,590,813.41","4,844,245.91","3,351,365.09","9,597,090.94","5,910,589.34","10,541,566.56","31,837,968.37","3,351,365.09","19,194,181.89","17,152,895.88","5,087,981.55", -   , -   ,"822,607.80","-91,400.87","182,801.73","5,636,386.75","43,506,812.28","25,013,370.37","10,480,632.65","18,127,838.45","25,775,044.25","15,812,349.84","30,466,955,379",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,2016,2016_10126,관제센터,8,,부산항 해상교통관제(VTS)센터 신축사업 건축공사,2302.8,4685,550.12,912.8,4.5,34.8,0,6,330,23,내진등급 - 내진설계1등급,"3,832,639,000", - , - , - ,"436,969,000","222,479,000","76,687,000","4,568,774,000",, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"4,568,774,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,2016,2016_10127,교정시설,10,,대구교정시설 건립공사,60760.41,280572,31970,16960,0,0,1,3,1085,452,자료없음,"67,486,885,150","21,230,562,455","20,241,875,287","2,332,651,180","14,800,929,134","15,466,728,832","3,880,332,956","145,439,964,994",,"42,904,789.67","36,941,751.11","197,362,032.50","9,599,037.69","54,539,986.87","35,632,791.42","29,524,312.89","7,417,438.21","45,668,149.01","33,451,191.95","109,370,853.68","61,521,105.19","14,543,996.50","436,319.89","3,490,559.16","5,672,158.63","-436,319.89","727,199.82","3,926,879.05","187,181,234.95","123,914,850.17","117,660,931.68","51,049,427.71","249,284,100.00","33,305,751.98","145,439,964,994",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,2016,2016_10128,교정시설,10,,군산교도소 비상대기소 증축공사,998.8,182990,311.46,0,4.7,자료없음,0,4,300,24,자료없음,"1,632,449,543","302,086,697","145,977,469","18,268,755","228,490,838","110,162,818","18,784,907","2,456,221,027",,"1,021,787.95","1,230,566.73","4,627,520.41",#VALUE!,"1,095,474.58","754,059.86","292,290.30","756,516.08","847,396.25","567,387.06","1,517,944.59","1,576,893.90","223,516.11", -   , -   ,"95,792.62", -   , -   ,"871,958.46","3,475,552.75","2,230,248.69","1,213,373.19","208,778.79","1,756,198.03","198,953.90","2,456,221,027",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,2016,2016_10129,교정시설,10,,속초교도소 신축공사,19465.5,140956,11007,78580,3.9,12.4,0,3,1080,155,자료없음,"24,987,603,307","6,994,155,940","9,268,798,177","1,058,416,927","4,804,038,324","5,600,052,451","1,210,166,838","53,923,231,964",,"18,980,977.65","5,715,862.59","77,757,300.49","916,694.94","16,554,432.21","13,372,961.53","15,206,351.41","4,691,321.18","15,260,274.65","10,461,107.00","25,451,765.49","28,902,852.33","7,441,406.01","862,771.71", -   ,"3,397,163.61", -   , -   ,"2,911,854.53","80,022,076.23","38,716,880.55","34,618,714.92","15,475,967.57","107,253,308.38","15,314,197.88","53,923,231,964",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,2016,2016_10130,격납고,1,,"서해해양경비안전본부 무안격납고 신축 건축(토목, 기계 포함)공사",2930,19701.85,2208,0,0,15,0,4,365,20,자료없음,"3,465,860,249","137,690,238","1,162,755,324", - ,"693,974,348","598,942,464","427,065,349","6,486,287,972",,"1,258,339.87","2,685,323.22","2,828,021.56","13,926,060.28","188,102.35","428,095.01","38,917.73","239,992.65","10,274,280.15","564,307.05","1,316,716.46","998,888.35","1,375,093.05", -   , -   ,"454,040.16","-103,780.61", -   ,"4,786,880.52","1,329,689.03","4,650,668.48","1,199,963.27","5,591,180.23","10,838,587.20", -   ,"6,486,287,972",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
