순번,년도,공사번호,유형,유형ID,1,주공사 공사명,"연면적
(㎡)","대지면적
(㎡)","건축면적
(㎡)","조경면적
(㎡)","기준층 층고
(m)","최고높이
(m)",최대지하 층 수,최대지상 층 수,공사일 수,주차대수,내진등급,건축,기계,토목,조경,전기,통신,소방,합계,,가설공사,기초공사,철근콘크리트공사,철골공사,조적공사,방수공사,석공사,타일공사,금속공사(지붕및홈통공사 포함),미장공사,창호및유리공사,목공사및수장공사(인테리어공사 포함),도장공사,해체및 철거공사,폐기물처리비,골재비및운반비,작업부산물,품질시험비,기타공사,기계소계,전기소계,통신소계,소방소계,토목소계,조경소계,총 공사비,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2015,2015_10011,일반청사,3,0,충청지방통계청 서산사무소 청사 신축공사[건축],1490.98,2940,705.9,320.56,4.2,13.5,0,3,365,67,"D등급, 내진등급 - 내진설계2등급","2,035,357,000", - , - , - ,"189,658,000","116,194,000","45,539,000","2,386,748,000",, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"2,386,748,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2015,2015_10012,일반청사,3,0,"농림축산검역본부 호남지역본부 청사 건축공사(건축, 토목, 조경, 기계)",3256.06,5098,1047.26,1111.21,0,0,1,4,360,34,0,"5,980,978,250","468,111,604","251,720,288","305,177,713","942,180,273","578,616,809","316,613,510","8,843,398,447",,"6,022,354.34","4,227,144.46","11,054,248.06", -   ,"1,308,822.97","2,219,693.01","5,633,244.81","1,246,919.18","5,960,450.55","1,361,883.36","4,041,433.09","8,303,951.14","636,724.69", -   ,"79,590.59","530,603.91", -   ,"97,277.38","4,925,772.93","6,535,271.45","6,738,669.62","5,482,907.04","4,050,276.49","3,510,829.18","4,465,916.22","8,843,398,447",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2015,2015_10013,일반청사,3,0,의정부지방법원 제4신관 증축 건축공사,1446.26,0,0,0,0,0,0,4,152,0,0,"1,893,792,636","93,002,008", - ,"38,537,570","402,994,456","159,403,140","66,321,947","2,654,051,757",,"1,260,674.58","615,740.01","4,373,877.30", -   ,"58,389.14","567,967.08","4,135,012.64","307,870.00","1,178,398.98","493,653.63","1,611,009.42","3,216,710.73","347,680.78","95,545.86", -   ,"191,091.73", -   , -   ,"342,372.68","1,170,436.82","3,529,888.84","1,775,560.63","772,329.06", -   ,"496,307.68","2,654,051,757",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2015,2015_10014,일반청사,3,0,국민건강보험공단 논산지사 사옥 신축공사(건축),1838.16,3395.4,705.89,656.63,3.9,13.9,0,3,240,49,D등급,"2,788,620,002","480,618,692","196,242,413", - ,"546,344,129","215,033,232","103,436,217","4,330,294,685",,"1,944,302.31","1,377,033.71","5,430,189.53","346,423.57","294,460.04","1,034,940.43","6,391,514.96","472,002.12","2,429,295.32","407,047.70","2,191,129.11","5,027,472.13","207,854.14", -   ,"34,642.36","285,799.45","-17,321.18", -   ,"1,788,411.70","2,282,065.30","4,763,324.15","2,645,810.05","1,238,464.28","2,728,085.65", -   ,"4,330,294,685",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2015,2015_10015,일반청사,3,0,국민연금 사천남해사옥 건축공사,1125.13,0,0,0,0,0,1,3,214,0,0,"1,561,603,000", - , - , - ,"178,428,000","60,517,000","27,479,000","1,828,027,000",, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"1,828,027,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2015,2015_10016,일반청사,3,0,대구지방고용노동청영주지청 청사신축 공사(건축공사),1615,0,0,0,0,0,1,3,450,0,0,"1,616,510,000", - , - , - ,"206,722,000","74,241,000","68,266,000","1,965,739,000",, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"1,965,739,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2015,2015_10017,일반청사,3,0,국민연금 용인사옥 신축 건축공사,1713.81,1952,612.89,273.98,3.75,16..6,0,4,0,33,D등급,"2,107,140,000", - , - , - ,"265,546,000","76,930,000","83,050,000","2,532,666,000",, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"2,532,666,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2015,2015_10018,일반청사,3,0,TBN경북교통방송 청사 건축공사,2988.23,9483,1131.51,3384.07,4.5,18.9,1,3,334,41,D등급,"6,080,034,623","272,820,696","87,656,908","387,482,026","882,091,806","325,764,621","194,071,178","8,229,921,858",,"4,567,606.63","1,744,743.43","11,760,558.34","831,222.11","3,555,326.24","2,855,782.88","5,160,161.00","814,762.26","2,979,231.71","1,028,740.23","4,937,953.11","4,798,044.44","888,831.56","156,368.52", -   ,"395,036.25","-57,609.45", -   ,"13,875,648.25","3,991,512.10","5,867,934.28","2,625,345.07","2,485,436.40","1,242,718.20","5,793,864.99","8,229,921,858",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2015,2015_10019,일반청사,3,0,국립공원관리공단 청사 신축공사(건축),9441.3,12276,2125.81,4722.11,4.2,32.5,1,8,660,77,"C등급, 내진등급 - 내진설계1등급","9,612,379,557","4,454,280,118","696,679,187","1,024,510,736","2,527,030,791","1,796,323,018","520,193,821","20,631,397,228",,"11,615,476.64","19,868,035.53", -   ,"1,918,719.94","2,228,190.90","3,569,231.72","10,645,800.97","1,031,569.86","10,810,852.15","2,826,501.42","8,231,927.49","31,937,402.91","2,125,033.91", -   , -   ,"577,679.12","-165,051.18", -   ,"1,423,566.41","39,859,859.44","18,196,892.36","9,779,282.29","6,808,361.09","7,716,142.56","15,308,496.74","20,631,397,228",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2015,2015_10020,연구시설,2,0,한국지방행정연구원 본원건립 신축공사,5620.5,3870.3,2263.19,1475.02,3.4,22.26,2,3,450,42,"D등급, 내진등급 - 내진설계1등급","9,515,019,131","1,068,647,604","647,671,077","148,378,504","1,288,789,226","937,643,869","437,624,163","14,043,773,574",,"13,215,190.93","3,763,731.32","26,992,132.81", -   ,"10,181,735.84","4,634,445.28","126,393.96","1,165,633.21","5,673,684.52","5,729,859.62","7,358,937.35","8,201,563.77","786,451.32", -   , -   ,"533,663.40", -   ,"70,218.87","4,213,132.07","14,521,261.88","9,900,860.37","6,867,405.28","5,631,553.20","8,721,183.39","2,148,697.36","14,043,773,574",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
