공종,코드,명칭,규격,단위,CalRevitWall,재료비단가,노무비단가,경비단가,합계단가,RecCost1,RecCost2,산식2,산식3
철골공사,3DABI068,ㄱ 형강,ㄱ-150*90*9mm,TN,,,,,,,,,
철골공사,3DABI069,ㄱ 형강,ㄱ-150*90*12mm,TN,,,,,,,,,
철골공사,3DABI070,ㄱ 형강,ㄱ-150*90*15mm,TN,,,,,,,,,
철골공사,3DABI071,ㄱ 형강,ㄱ-150*100*9mm,TN,,,,,,,,,
철골공사,3DABI072,ㄱ 형강,ㄱ-150*100*12mm,TN,,,,,,,,,
철골공사,3DABI073,ㄱ 형강,ㄱ-150*100*15mm,TN,,,,,,,,,
철골공사,3DABI074,ㄱ 형강,ㄱ-65*65*5mm,TN,,,,,,,,,
철골공사,3DABI075,ㄱ 형강,ㄱ-130*130*10mm,TN,,,,,,,,,
철골공사,3DABI076,ㄱ 형강,ㄱ-120*120*8mm,TN,,,,,,,,,
철골공사,3DABI077,ㄱ 형강,ㄱ-100*100*12mm,TN,,,,,,,,,
철골공사,3DABI078,ㄱ 형강,ㄱ-100*100*9mm,TN,,,,,,,,,
철골공사,3DABI079,ㄱ 형강,ㄱ-90*90*8mm,TN,,,,,,,,,
철골공사,3DABI080,ㄱ 형강,ㄱ-250*250*25mm,TN,,,,,,,,,
철골공사,3DABI081,ㄱ 형강,ㄱ-250*250*35mm,TN,,,,,,,,,
철골공사,3DABI201,**ㄱ 형강/0.08,ㄱ-20*20*1.6mm,MZ,,,,,,,,,
철골공사,3DABI202,**ㄱ 형강/0.08,ㄱ-20*20*3mm,MZ,,,,,,,,,
철골공사,3DABI203,**ㄱ 형강/0.1,ㄱ-25*25*3mm,MZ,,,,,,,,,
철골공사,3DABI204,**ㄱ 형강/0.1,ㄱ-25*25*5mm,MZ,,,,,,,,,
철골공사,3DABI205,**ㄱ 형강/0.18,ㄱ-30*30*3mm,MZ,,,,,,,,,
철골공사,3DABI206,**ㄱ 형강/0.12,ㄱ-30*30*5mm,MZ,,,,,,,,,
철골공사,3DABI207,**ㄱ 형강/0.14,ㄱ-30*35*3mm,MZ,,,,,,,,,
철골공사,3DABI208,**ㄱ 형강/0.13,ㄱ-32*32*3mm,MZ,,,,,,,,,
철골공사,3DABI209,**ㄱ 형강/0.14,ㄱ-35*35*5mm,MZ,,,,,,,,,
철골공사,3DABI210,**ㄱ 형강/0.15,ㄱ-38*38*3mm,MZ,,,,,,,,,
철골공사,3DABI211,**ㄱ 형강/0.16,ㄱ-40*40*3mm,MZ,,,,,,,,,
철골공사,3DABI212,**ㄱ 형강/0.16,ㄱ-40*40*5mm,MZ,,,,,,,,,
철골공사,3DABI213,**ㄱ 형강/0.16,ㄱ-40*40*6mm,MZ,,,,,,,,,
철골공사,3DABI214,**ㄱ 형강/0.18,ㄱ-45*45*4mm,MZ,,,,,,,,,
철골공사,3DABI215,**ㄱ 형강/0.18,ㄱ-45*45*5mm,MZ,,,,,,,,,
철골공사,3DABI216,**ㄱ 형강/0.18,ㄱ-45*45*6mm,MZ,,,,,,,,,
철골공사,3DABI217,**ㄱ 형강/0.2,ㄱ-50*50*4mm,MZ,,,,,,,,,
철골공사,3DABI218,**ㄱ 형강/0.2,ㄱ-50*50*5mm,MZ,,,,,,,,,
철골공사,3DABI219,**ㄱ 형강/0.2,ㄱ-50*50*6mm,MZ,,,,,,,,,
철골공사,3DABI220,**ㄱ 형강/0.24,ㄱ-60*60*4mm,MZ,,,,,,,,,
철골공사,3DABI221,**ㄱ 형강/0.24,ㄱ-60*60*5mm,MZ,,,,,,,,,
철골공사,3DABI222,**ㄱ 형강/0.24,ㄱ-60*60*6mm,MZ,,,,,,,,,
철골공사,3DABI223,**ㄱ 형강/0.26,ㄱ-65*65*6mm,MZ,,,,,,,,,
철골공사,3DABI224,**ㄱ 형강/0.26,ㄱ-65*65*7mm,MZ,,,,,,,,,
철골공사,3DABI225,**ㄱ 형강/0.26,ㄱ-65*65*8mm,MZ,,,,,,,,,
철골공사,3DABI226,**ㄱ 형강/0.28,ㄱ-70*70*6mm,MZ,,,,,,,,,
철골공사,3DABI227,**ㄱ 형강/0.3,ㄱ-75*75*5mm,MZ,,,,,,,,,
철골공사,3DABI228,**ㄱ 형강/0.3,ㄱ-75*75*6mm,MZ,,,,,,,,,
철골공사,3DABI229,**ㄱ 형강/0.3,ㄱ-75*75*8mm,MZ,,,,,,,,,
철골공사,3DABI230,**ㄱ 형강/0.3,ㄱ-75*75*9mm,MZ,,,,,,,,,
철골공사,3DABI231,**ㄱ 형강/0.32,ㄱ-80*80*6mm,MZ,,,,,,,,,
철골공사,3DABI232,**ㄱ 형강/0.36,ㄱ-90*90*6mm,MZ,,,,,,,,,
철골공사,3DABI233,**ㄱ 형강/0.36,ㄱ-90*90*7mm,MZ,,,,,,,,,
철골공사,3DABI234,**ㄱ 형강/0.36,ㄱ-90*90*9mm,MZ,,,,,,,,,
철골공사,3DABI235,**ㄱ 형강/0.36,ㄱ-90*90*10mm,MZ,,,,,,,,,
