공종,코드,명칭,규격,단위,CalRevitWall,재료비단가,노무비단가,경비단가,합계단가,RecCost1,RecCost2,산식2,산식3
,,공 통 가 설,,,GrossSideArea*2,100,200,300,1000,2000,3,GrossSideArea,GrossSideArea*2
공통가설,1AAAA000,1. 가설 사무실,,,GrossSideArea*GrossSideArea,100,200,300,1000,2000,3,GrossSideArea,GrossSideArea*2
공통가설,1AAAA010,조립식가설사무소,PRE-FAB 2F G/P ROOF,M2,Depth,100,200,300,1000,2000,3,GrossSideArea,GrossSideArea*2
공통가설,1AAAA020,가설건물 해체,,M2,1000,100,200,300,1000,2000,3,GrossSideArea,GrossSideArea*2
공통가설,1AAAA030,가설건물 바닥정리비,거푸집+타설+와이어메쉬+쇠흙손+차수몰탈,M2,,,,,,,,,
공통가설,1AAAA040,가설건물내부마감,모노륨,M2,,,,,,,,,
공통가설,1AAAA050,가설건물내부마감,에폭시페인트,M2,,,,,,,,,
공통가설,1AAAA060,가설건물내부마감,바닥타일,M2,,,,,,,,,
공통가설,1AAAA070,조립식가설사무소,PRE-FAB- 2F- 해체별도,M2,,,,,,,,,
공통가설,1AAAA080,가설건물 해체,,M2,,,,,,,,,
공통가설,1AAAA090,가설건물바닥정리비,거푸집+타설+와이어매쉬+쇠흙손+차수몰탈,M2,,,,,,,,,
공통가설,1AAAA100,가설건물내부바닥마감,모노륨,M2,,,,,,,,,
공통가설,1AAAA110,가설건물내부바닥마감,에폭시페인트,M2,,,,,,,,,
공통가설,1AAAA120,가설건물내부바닥마감,타일,M2,,,,,,,,,
공통가설,1AAAA130,조립식가설사무소,PRE-FAB 2F G/P ROOF,M2,,,,,,,,,
공통가설,1AAAA140,가설건물 해체,,M2,,,,,,,,,
공통가설,1AAAA150,가설건물 바닥정리비,거푸집+타설+와이어메쉬+쇠흙손+차수몰탈,M2,,,,,,,,,
공통가설,1AAAA160,가설건물내부마감,모노륨,M2,,,,,,,,,
공통가설,1AAAA170,가설건물내부마감,에폭시페인트,M2,,,,,,,,,
공통가설,1AAAA180,가설건물내부마감,타일,M2,,,,,,,,,
공통가설,1AAAA190,조립식가설사무소,PRE-FAB 2F G/P ROOF,M2,,,,,,,,,
공통가설,1AAAA200,가설건물해체,,M2,,,,,,,,,
공통가설,1AAAA210,가설건물바닥정리비,거푸집+타설+와이어메쉬+쇠흙손+차수몰탈,M2,,,,,,,,,
공통가설,1AAAA220,가설건물내부마감,모노륨,M2,,,,,,,,,
공통가설,1AAAA230,가설건물내부마감,타일,M2,,,,,,,,,
공통가설,1AAAA240,가설건물내부마감,에폭시페인트,M2,,,,,,,,,
공통가설,1AAAA250,조립식가설사무소,PRE-FAB 2F G/P ROOF,M2,,,,,,,,,
공통가설,1AAAA260,가설건물 해체,,M2,,,,,,,,,
공통가설,1AAAA270,가설건물바닥정리비,거푸집+타설+와이어메쉬+쇠흙손+차수몰탈,M2,,,,,,,,,
공통가설,1AAAA280,가설건물내부마감,모노륨,M2,,,,,,,,,
공통가설,1AAAA290,가설건물내부마감,에폭시페인트,M2,,,,,,,,,
공통가설,1AAAA300,가설건물내부마감,바닥타일,M2,,,,,,,,,
공통가설,1AAAA310,조립식가설사무소,PRE-FAB 2F G/P ROOF,M2,,,,,,,,,
공통가설,1AAAA320,가설건물해체,,M2,,,,,,,,,
공통가설,1AAAA330,가설건물바닥정리비,거푸집+타설+와이어매쉬+쇠흙손+차수몰탈,M2,,,,,,,,,
공통가설,1AAAA340,가설건물내부바닥마감,모노륨,M2,,,,,,,,,
공통가설,1AAAA350,가설건물내부바닥마감,에폭시페인트,M2,,,,,,,,,
공통가설,1AAAA360,가설건물내부바닥마감,타일,M2,,,,,,,,,
공통가설,1AAAE010,샌드위치판넬설치,벽- 50mm- 그라스울 48K- H:2500~3500,M2,,,,,,,,,
공통가설,1AAAE020,샌드위치판넬해체,벽- 50mm- 그라스울 48K- H:2500~3500,M2,,,,,,,,,
공통가설,1AAAE030,샌드위치판넬설치,벽- 50mm- 그라스울 48K- H:3500~4500,M2,,,,,,,,,
공통가설,1AAAE040,샌드위치판넬해체,벽- 50mm- 그라스울 48K- H:3500~4500,M2,,,,,,,,,
공통가설,1AAAE050,샌드위치판넬설치,벽- 50mm- 그라스울 48K- H:2500~3500,M2,,,,,,,,,
공통가설,1AAAE060,샌드위치판넬해체,벽- 50mm- 그라스울 48K- H:2500~3500,M2,,,,,,,,,
공통가설,1AAAE070,샌드위치판넬설치,벽- 50mm- 그라스울 48K- H:3500~4500,M2,,,,,,,,,
공통가설,1AAAE080,샌드위치판넬해체,벽- 50mm- 그라스울 48K- H:3500~4500,M2,,,,,,,,,
공통가설,1AAAE090,편개도어,W900~1100-H=2100-H/W및충진포함,EA,,,,,,,,,
공통가설,1AAAE100,양개도어,W1800~2000-H=2100-H/W및충진포함,EA,,,,,,,,,
공통가설,1AAAE110,PD/슬라이딩도어,W1800~2000-H=2100-H/W및충진포함,EA,,,,,,,,,
공통가설,1AAAE120,PW/단창,W900~1100-H=1100-H/W및충진포함,EA,,,,,,,,,
공통가설,1AAAE130,환풍기,350×350-타공및보강포함,EA,,,,,,,,,
공통가설,1AAAE140,샌드위치판넬 타공,5M당1개소 초과분- 600×1200 기준(보부위),EA,,,,,,,,,
공통가설,1AAAB010,2. 가설식당,,,,,,,,,,,
공통가설,1AAAB020,조립식가설식당,종판넬 H-2.4m-1F G/F ROOF,M2,,,,,,,,,
공통가설,1AAAB030,가설건물해체,,M2,,,,,,,,,
공통가설,1AAAB040,가설건물바닥정리비,거푸집+타설+와이어매쉬+쇠흙손+차수몰탈,M2,,,,,,,,,
공통가설,1AAAB050,가설건물내부바닥마감,에폭시페인트,M2,,,,,,,,,
공통가설,1AAAB060,가설건물내부바닥마감,타일및트렌치설치 포함,M2,,,,,,,,,
공통가설,1AAAB070,조립식가설식당,종판넬 H-2.4m-1F G/F ROOF,M2,,,,,,,,,
공통가설,1AAAB080,가설건물해체,,M2,,,,,,,,,
공통가설,1AAAB090,가설건물바닥정리비,거푸집+타설+와이어매쉬+쇠흙손+차수몰탈,M2,,,,,,,,,
공통가설,1AAAB100,가설건물내부바닥마감,에폭시페인트,M2,,,,,,,,,
공통가설,1AAAB110,가설건물내부바닥마감,타일및트렌치설치 포함,M2,,,,,,,,,
공통가설,1AAAC010,3. 가설펌프실,,,,,,,,,,,
공통가설,1AAAC020,조립식가설사무소(펌프실),PRE-FAB- 1F- 해체별도,M2,,,,,,,,,
공통가설,1AAAC030,가설건물해체(펌프실),,M2,,,,,,,,,
공통가설,1AAAC040,가설건물바닥정리비(펌프실),거푸집+타설+와이어매쉬+쇠흙손+차수몰탈,M2,,,,,,,,,
공통가설,1AAAC050,가설사무실해체감리비,,LS,,,,,,,,,
공통가설,1AAAC060,가설건물잡석포설,THK=300,M2,,,,,,,,,
공통가설,1AAAD010,콘테이너사용료,경비실 2.4*2.4,MT,,,,,,,,,
공통가설,1AAAD020,콘테이너사용료,경비실 2.4*3.0,MT,,,,,,,,,
공통가설,1AAAD030,콘테이너사용료,경비실 3.0*3.0,MT,,,,,,,,,
공통가설,1AAAD040,콘테이너사용료,사무실-창고 2.4*6.0,MT,,,,,,,,,
공통가설,1AAAD050,콘테이너사용료,사무실-창고 2.4*12.0,MT,,,,,,,,,
공통가설,1AAAD060,콘테이너사용료,사무실-창고 3.0*6.0,MT,,,,,,,,,
공통가설,1AAAD070,콘테이너사용료,사무실-창고 3.0*9.0,MT,,,,,,,,,
공통가설,1AAAD080,콘테이너사용료,사무실-창고 3.0*12.0,MT,,,,,,,,,
공통가설,1AAAD090,콘테이너사용(연동식),사무실-창고 6.0*9.0,MT,,,,,,,,,
공통가설,1AAAD100,콘테이너사용(연동식),사무실-창고 6.0*12.0,MT,,,,,,,,,
공통가설,1AAAD110,콘테이너사용(연동식),사무실-창고 6.0*15.0,MT,,,,,,,,,
공통가설,1AAAD120,콘테이너사용(연동식),사무실-창고 6.0*24.0,MT,,,,,,,,,
공통가설,1AAAD130,콘테이너사용료,화장실 2.4*6.0,MT,,,,,,,,,
공통가설,1AAAD140,콘테이너사용료,화장실 2.4*12.0,MT,,,,,,,,,
공통가설,1AAAD150,콘테이너사용료,샤워장및화장실 2.4*6,MT,,,,,,,,,
공통가설,1AAAD160,콘테이너사용료,샤워장및화장실 2.4*12,MT,,,,,,,,,
공통가설,1AAAD170,콘테이너사용료,샤워장및화장실 3.0*3.0,MT,,,,,,,,,
공통가설,1AAAD180,콘테이너사용료,샤워장및화장실 3.0*6.0,MT,,,,,,,,,
공통가설,1AAAD190,콘테이너사용료,샤워장및화장실 3.0*9.0,MT,,,,,,,,,
공통가설,1AAAD200,콘테이너사용료,샤워장및화장실 3.0*9.0,MT,,,,,,,,,
공통가설,1AAAD210,콘테이너사용료,샤워장및화장실 3.0*12.0,MT,,,,,,,,,
공통가설,1AAAD220,콘테이너사용료,숙소 3.0*6.0,MT,,,,,,,,,
공통가설,1AAAD230,콘테이너사용료,숙소 3.0*12.0,MT,,,,,,,,,
공통가설,1AAAD240,이동식화장실,F.R.P./동별1개소,EA,,,,,,,,,
공통가설,1AAIA010,4. 가설울타리,,,,,,,,,,,
공통가설,1AAIA020,조립식가설방음벽,RPP- H=14M/H-Beam- 해체포함,M2,,,,,,,,,
공통가설,1AAIA030,조립식가설방음벽,RPP- H=12M/H-Beam- 해체포함,M2,,,,,,,,,
공통가설,1AAIA045,조립식가설방음벽,RPP- H=11M/H-Beam- 해체포함,M2,,,,,,,,,
공통가설,1AAIA040,조립식가설방음벽,RPP- H=10M/H-Beam- 해체포함,M2,,,,,,,,,
공통가설,1AAIA050,조립식가설방음벽,RPP- H=9M/H-Beam- 해체포함,M2,,,,,,,,,
공통가설,1AAIA060,조립식가설방음벽,RPP- H=8M/H-Beam- 해체포함,M2,,,,,,,,,
공통가설,1AAIA070,조립식가설방음벽,RPP- H=7M/H-Beam- 해체포함,M2,,,,,,,,,
공통가설,1AAIA080,조립식가설방음벽,RPP- H=6M/H-Beam- 해체포함,M2,,,,,,,,,
공통가설,1AAIA090,조립식가설방음벽,RPP- H=5M/H-Beam- 해체포함,M2,,,,,,,,,
공통가설,1AAIA100,조립식가설방음벽,RPP- H=4M/H-Beam- 해체포함,M2,,,,,,,,,
공통가설,1AAIA110,조립식가설방음벽,RPP- H=3M/H-Beam- 해체포함,M2,,,,,,,,,
공통가설,1AAIA120,조립식가설울타리,EGI 4.0M- 해체포함/Pipe 해체포함- 분진망 별도,MZ,,,,,,,,,
공통가설,1AAIA130,조립식가설울타리,EGI 3.0M- 해체포함/Pipe 해체포함- 분진망 별도,MZ,,,,,,,,,
공통가설,1AAIA140,조립식가설울타리,EGI 2.4M- 해체포함/Pipe 해체포함- 분진망 별도,MZ,,,,,,,,,
공통가설,1AAIA150,조립식가설울타리,EGI 2.0M- 해체포함/Pipe 해체포함- 분진망 별도,MZ,,,,,,,,,
공통가설,1AAIA160,조립식가설울타리,EGI 1.8M- 해체포함/Pipe 해체포함- 분진망 별도,MZ,,,,,,,,,
공통가설,1AAIA170,가설방음벽 상부 분진망,RPP상부 / 비계틀-해체포함,M2,,,,,,,,,
공통가설,1AAIA180,가설방음벽 상부 분진망,EGI상부 / 비계틀-해체포함,M2,,,,,,,,,
공통가설,1AAIA190,조립식가설출입문,FOLDING DOOR-해체포함,M2,,,,,,,,,
공통가설,1AAIA200,가설울타리레미콘타설,타설비/장비포함,M3,,,,,,,,,
공통가설,1AAIA210,쪽문,H=2.1- W=0.9,EA,,,,,,,,,
공통가설,1AAIA220,양개도어,,M2,,,,,,,,,
공통가설,1AAIA230,가설 방음벽 해체 및 재설치,RPP- H=14M/H-Beam,M2,,,,,,,,,
공통가설,1AAIA240,가설 방음벽 해체 및 재설치,RPP- H=12M/H-Beam,M2,,,,,,,,,
공통가설,1AAIA255,가설 방음벽 해체 및 재설치,RPP- H=11M/H-Beam,M2,,,,,,,,,
공통가설,1AAIA250,가설 방음벽 해체 및 재설치,RPP- H=10M/H-Beam,M2,,,,,,,,,
공통가설,1AAIA260,가설 방음벽 해체 및 재설치,RPP- H=9M/H-Beam,M2,,,,,,,,,
공통가설,1AAIA270,가설 방음벽 해체 및 재설치,RPP- H=8M/H-Beam,M2,,,,,,,,,
공통가설,1AAIA280,가설 방음벽 해체 및 재설치,RPP- H=7M/H-Beam,M2,,,,,,,,,
공통가설,1AAIA290,가설 방음벽 해체 및 재설치,RPP- H=6M/H-Beam,M2,,,,,,,,,
공통가설,1AAIA300,가설 방음벽 해체 및 재설치,RPP- H=5M/H-Beam,M2,,,,,,,,,
공통가설,1AAIA310,가설 방음벽 해체 및 재설치,RPP- H=4M/H-Beam,M2,,,,,,,,,
공통가설,1AAIA320,가설 방음벽 해체 및 재설치,RPP- H=3M/H-Beam,M2,,,,,,,,,
공통가설,1AAIA330,가설 울타리 해체 및 재설치,EGI 4.0M,MZ,,,,,,,,,
공통가설,1AAIA340,가설 울타리 해체 및 재설치,EGI 3.0M,MZ,,,,,,,,,
공통가설,1AAIA350,가설 울타리 해체 및 재설치,EGI 2.4M,MZ,,,,,,,,,
공통가설,1AAIA360,가설 울타리 해체 및 재설치,EGI 2.0M,MZ,,,,,,,,,
공통가설,1AAIA370,가설 울타리 해체 및 재설치,EGI 1.8M,MZ,,,,,,,,,
공통가설,1AAIA380,가설방음벽 상부 분진망 해체 및 재설치,RPP상부,M2,,,,,,,,,
공통가설,1AAIA390,가설방음벽 상부 분진망 해체 및 재설치,EGI상부,M2,,,,,,,,,
공통가설,1AAIA400,조립식가설출입문 해체 및 재설치,FOLDING DOOR,M2,,,,,,,,,
공통가설,1AAIA410,구조검토비(구조기술사날인),,RD,,,,,,,,,
공통가설,1AAIA415,T4장비사용료(개소당),인건비포함-천공갯수기준(근입1.4~2.1m기준),RD,,,,,,,,,
공통가설,1AAIB000,디자인휀스(서울-경기),1.2*1.8-기본료,MZ,,,,,,,,,
공통가설,1AAIB010,디자인휀스(서울-경기),1.5*1.8-기본료,MZ,,,,,,,,,
공통가설,1AAIB020,디자인휀스(서울-경기),1.8*1.8-기본료,MZ,,,,,,,,,
공통가설,1AAIB030,디자인휀스(서울-경기),2.1*1.8-기본료,MZ,,,,,,,,,
공통가설,1AAIB040,디자인휀스(서울-경기),2.4*1.8-기본료,MZ,,,,,,,,,
공통가설,1AAIB050,디자인휀스(서울-경기),3.0*1.8-기본료,MZ,,,,,,,,,
공통가설,1AAIB060,철망게이트(서울-경기),1.8*1.8-기본료,MZ,,,,,,,,,
공통가설,1AAIB070,보행자출입문(서울-경기),1.8*1.8-기본료,MZ,,,,,,,,,
공통가설,1AAIB080,자바라게이트(서울-경기),H:1.8-기본료,MZ,,,,,,,,,
공통가설,1AAIB090,디자인휀스(서울-경기),1.2*1.8-월임대료,MZ,,,,,,,,,
공통가설,1AAIB100,디자인휀스(서울-경기),1.5*1.8-월임대료,MZ,,,,,,,,,
공통가설,1AAIB105,디자인휀스(서울-경기),1.8*1.8-월임대료,MZ,,,,,,,,,
공통가설,1AAIB110,디자인휀스(서울-경기),2.1*1.8-월임대료,MZ,,,,,,,,,
공통가설,1AAIB120,디자인휀스(서울-경기),2.4*1.8-월임대료,MZ,,,,,,,,,
공통가설,1AAIB130,디자인휀스(서울-경기),3.0*1.8-월임대료,MZ,,,,,,,,,
공통가설,1AAIB140,철망게이트(서울-경기),1.8*1.8-월임대료,MZ,,,,,,,,,
공통가설,1AAIB150,보행자출입문(서울-경기),1.8*1.8-월임대료,MZ,,,,,,,,,
공통가설,1AAIB160,자바라게이트(서울-경기),H:1.8-월임대료,MZ,,,,,,,,,
공통가설,1AAIB170,디자인휀스(지방),1.2*1.8-기본료,MZ,,,,,,,,,
공통가설,1AAIB180,디자인휀스(지방),1.5*1.8-기본료,MZ,,,,,,,,,
공통가설,1AAIB190,디자인휀스(지방),1.8*1.8-기본료,MZ,,,,,,,,,
공통가설,1AAIB195,디자인휀스(지방),2.1*1.8-기본료,MZ,,,,,,,,,
공통가설,1AAIB200,디자인휀스(지방),2.4*1.8-기본료,MZ,,,,,,,,,
공통가설,1AAIB210,디자인휀스(지방),3.0*1.8-기본료,MZ,,,,,,,,,
공통가설,1AAIB220,철망게이트(지방),1.8*1.8-기본료,MZ,,,,,,,,,
공통가설,1AAIB230,보행자출입문(지방),1.8*1.8-기본료,MZ,,,,,,,,,
공통가설,1AAIB240,자바라게이트(지방),H:1.8-기본료,MZ,,,,,,,,,
공통가설,1AAIB250,디자인휀스(지방),1.2*1.8-월임대료,MZ,,,,,,,,,
공통가설,1AAIB260,디자인휀스(지방),1.5*1.8-월임대료,MZ,,,,,,,,,
공통가설,1AAIB270,디자인휀스(지방),1.8*1.8-월임대료,MZ,,,,,,,,,
공통가설,1AAIB280,디자인휀스(지방),2.1*1.8-월임대료,MZ,,,,,,,,,
공통가설,1AAIB290,디자인휀스(지방),2.4*1.8-월임대료,MZ,,,,,,,,,
공통가설,1AAIB300,디자인휀스(지방),3.0*1.8-월임대료,MZ,,,,,,,,,
공통가설,1AAIB310,철망게이트(지방),1.8*1.8-월임대료,MZ,,,,,,,,,
공통가설,1AAIB320,보행자출입문(지방),1.8*1.8-월임대료,MZ,,,,,,,,,
공통가설,1AAIB330,자바라게이트(지방),H:1.8-월임대료,MZ,,,,,,,,,
공통가설,1AAZA010,5. 기타 공통가설,,,,,,,,,,,
공통가설,1AAZA020,산업폐기물 처리비,,M2,,,,,,,,,
공통가설,1AAZA030,레미콘단위수량시험기,구매,EA,,,,,,,,,
공통가설,1AAZA040,레미콘 골재시험비,8개사*각사 골재납품사 3개사*1백만원,LS,,,,,,,,,
공통가설,1AAZA050,장비비임대,,M2,,,,,,,,,
공통가설,1AAZA060,무전기,허가비포함,EA,,,,,,,,,
공통가설,1AAZA070,양수기(엔진)사용료,4인치,MT,,,,,,,,,
공통가설,1AAZA080,양수기(엔진)사용료,5인치,MT,,,,,,,,,
공통가설,1AAZA090,양수기,(2인치),RD,,,,,,,,,
공통가설,1AAZA000,양수기,(3인치),RD,,,,,,,,,
공통가설,1AAZA110,양수기,(4인치),RD,,,,,,,,,
공통가설,1AAZA120,양수기,(5인치),RD,,,,,,,,,
공통가설,1AAZA130,공기구유류비,150억 미만,MT,,,,,,,,,
공통가설,1AAZA140,공기구유류비,150-300억 미만,MT,,,,,,,,,
공통가설,1AAZA150,공기구유류비,300-500억 미만,MT,,,,,,,,,
공통가설,1AAZA160,공기구유류비,500-700억 미만,MT,,,,,,,,,
공통가설,1AAZA170,공기구유류비,700-1000억 미만,MT,,,,,,,,,
공통가설,1AAZA180,공기구유류비,1000억 이상,MT,,,,,,,,,
공통가설,1AAZA190,U형측구,W600,MZ,,,,,,,,,
공통가설,1AAZA200,집수정,APT용,ST,,,,,,,,,
공통가설,1AAZA210,PE플륨관,플륨관- 400*250,MZ,,,,,,,,,
공통가설,1AAZA220,플륨관설치,터파기+플륨관설치+되메우기,MZ,,,,,,,,,
공통가설,1AAZA230,침사조설치 및 운영,5M×5M,EA,,,,,,,,,
공통가설,1AAZA240,공기구및잡자재비,10-000 M2 미만,M2,,,,,,,,,
공통가설,1AAZA250,공기구및잡자재비,10-000- 20-000,M2,,,,,,,,,
공통가설,1AAZA260,공기구및잡자재비,20-000- 30-000,M2,,,,,,,,,
공통가설,1AAZA270,공기구및잡자재비,30-000- 40-000,M2,,,,,,,,,
공통가설,1AAZA280,공기구및잡자재비,40-000- 50-000,M2,,,,,,,,,
공통가설,1AAZA290,공기구및잡자재비,50-000- 60-000,M2,,,,,,,,,
공통가설,1AAZA300,공기구및잡자재비,60-000- 80-000,M2,,,,,,,,,
공통가설,1AAZA310,공기구및잡자재비,80-000-100-000,M2,,,,,,,,,
공통가설,1AAZA320,공기구및잡자재비,100-000-150-000,M2,,,,,,,,,
공통가설,1AAZA330,공기구및잡자재비,150-000-200-000,M2,,,,,,,,,
공통가설,1AAZA340,공기구및잡자재비,200-000 M2 이상,M2,,,,,,,,,
공통가설,1AAZA350,장비및공구수리비,200억 미만,MT,,,,,,,,,
공통가설,1AAZA360,장비및공구수리비,200억 이상,MT,,,,,,,,,
공통가설,1AAZA370,장비및공구수리비,500억 이상,MT,,,,,,,,,
공통가설,1AAZA380,장비및공구수리비,1000억 이상,MT,,,,,,,,,
공통가설,1AAZA390,현장정리비,,M2,,,,,,,,,
공통가설,1AAZA400,오물청소비(주상복합-아파트),총공사비 500억미만,MT,,,,,,,,,
공통가설,1AAZA410,오물청소비(주상복합),총공사비 500억이상,MT,,,,,,,,,
공통가설,1AAZA420,오물청소비(아파트),총공사비 500억이상,MT,,,,,,,,,
공통가설,1AAZA430,준공청소비,인테리어면적제외,M2,,,,,,,,,
공통가설,1AAZA440,세륜시설,12개월미만,MT,,,,,,,,,
공통가설,1AAZA450,세륜시설,13-24개월,MT,,,,,,,,,
공통가설,1AAZA460,세륜시설,구입,ST,,,,,,,,,
공통가설,1AAZA470,세륜대기초 설치,저수조+PAD,EA,,,,,,,,,
공통가설,1AAZA480,세륜대기초 해체,저수조+PAD,EA,,,,,,,,,
공통가설,1AAZA490,세륜대기초 설치,슬러지박스,EA,,,,,,,,,
공통가설,1AAZA500,세륜대기초 해체,슬러지박스,EA,,,,,,,,,
공통가설,1AAZA510,가설도로 설치,CON'C타설(THK=250),M3,,,,,,,,,
공통가설,1AAZA520,가설도로 설치,잡석포설(THK=300),M3,,,,,,,,,
공통가설,1AAZA530,분진방지물차,,MT,,,,,,,,,
공통가설,1AAZA540,자재시험비,연면적 50-000평미만,LS,,,,,,,,,
공통가설,1AAZA550,자재시험비,연면적 50-000평이상,LS,,,,,,,,,
공통가설,1AAZA560,대형챔버시험,신발장-반침장-주방가구,RD,,,,,,,,,
공통가설,1AAZA570,소형챔버시험,도어류-뒷판,LS,,,,,,,,,
공통가설,1AAZA580,바닥충격음_경량충격음,본측정,EA,,,,,,,,,
공통가설,1AAZA590,바닥충격음_경량충격음,예비측정,EA,,,,,,,,,
공통가설,1AAZA600,바닥충격음_중량충격음,본측정,EA,,,,,,,,,
공통가설,1AAZA610,바닥충격음_중량충격음,예비측정,EA,,,,,,,,,
공통가설,1AAZA620,실내공기질 측정비,500세대이하,NR,,,,,,,,,
공통가설,1AAZA630,실내공기질 측정비,1-000세대이하,NR,,,,,,,,,
공통가설,1AAZA640,실내공기질 측정비,1-500세대이하,NR,,,,,,,,,
공통가설,1AAZA650,실내공기질 측정비,1-500세대초과,NR,,,,,,,,,
공통가설,1AAZA660,출장수수료,1-000세대이하,LS,,,,,,,,,
공통가설,1AAZA670,출장수수료,1-000세대초과,LS,,,,,,,,,
공통가설,1AAZA680,라돈 측정비,,LS,,,,,,,,,
공통가설,1AAZA690,실내공기질 측정비,측정세대,EA,,,,,,,,,
공통가설,1AAZA700,실내공기질 측정비,예비측정세대,EA,,,,,,,,,
공통가설,1AAZA710,실내공기질 측정보고서,,EA,,,,,,,,,
공통가설,1AAZA720,준공도서사전검토용역비,300세대 미만,LS,,,,,,,,,
공통가설,1AAZA730,준공도서사전검토용역비,300-500세대,LS,,,,,,,,,
공통가설,1AAZA740,준공도서사전검토용역비,501-1-000세대,LS,,,,,,,,,
공통가설,1AAZA750,준공도서사전검토용역비,1-001-1-500세대,LS,,,,,,,,,
공통가설,1AAZA760,준공도서사전검토용역비,1-501-2-000세대,LS,,,,,,,,,
공통가설,1AAZA770,시험기구,200억미만,LS,,,,,,,,,
공통가설,1AAZA780,시험기구,200-500억,LS,,,,,,,,,
공통가설,1AAZA790,시험기구,500-1000억,LS,,,,,,,,,
공통가설,1AAZA800,시험기구,1000억이상,LS,,,,,,,,,
공통가설,1AAZA810,동계공사비,중부(1회),LS,,,,,,,,,
공통가설,1AAZA820,동계공사비,중부(2회),LS,,,,,,,,,
공통가설,1AAZA830,동계공사비,중부(3회),LS,,,,,,,,,
공통가설,1AAZA840,동계공사비,남부(1회),LS,,,,,,,,,
공통가설,1AAZA850,동계공사비,남부(2회),LS,,,,,,,,,
공통가설,1AAZA860,동계공사비,남부(3회),LS,,,,,,,,,
공통가설,1AAZA870,샘플하우스 도배공사,20평형대,EA,,,,,,,,,
공통가설,1AAZA880,샘플하우스 도배공사,30평형대,EA,,,,,,,,,
공통가설,1AAZA890,샘플하우스 도배공사,40평형대,EA,,,,,,,,,
공통가설,1AAZA900,샘플하우스 도배공사,50평형대,EA,,,,,,,,,
공통가설,1AAZA910,샘플하우스 도배공사,60평형대,EA,,,,,,,,,
공통가설,1AAZA920,샘플하우스 청소,20평형대,EA,,,,,,,,,
공통가설,1AAZA930,샘플하우스 청소,30평형대,EA,,,,,,,,,
공통가설,1AAZA940,샘플하우스 청소,40평형대,EA,,,,,,,,,
공통가설,1AAZA950,샘플하우스 청소,50평형대,EA,,,,,,,,,
공통가설,1AAZA960,샘플하우스 청소,60평형대,EA,,,,,,,,,
공통가설,1AAZA970,샘플하우스 개보수비,20평형대,EA,,,,,,,,,
공통가설,1AAZA980,샘플하우스 개보수비,30평형대,EA,,,,,,,,,
공통가설,1AAZA990,샘플하우스 개보수비,40평형대,EA,,,,,,,,,
공통가설,1AAZB000,샘플하우스 개보수비,50평형대,EA,,,,,,,,,
공통가설,1AAZB010,샘플하우스 개보수비,60평형대,EA,,,,,,,,,
공통가설,1AAZB020,샘플하우스 설치비,20평형,NR,,,,,,,,,
공통가설,1AAZB030,샘플하우스 설치비,30평형,NR,,,,,,,,,
공통가설,1AAZB040,샘플하우스 설치비,40평형,NR,,,,,,,,,
공통가설,1AAZB050,샘플하우스 설치비,50평형,NR,,,,,,,,,
공통가설,1AAZB060,샘플하우스 설치비,60평형,NR,,,,,,,,,
공통가설,1AAZB070,샘플하우스 설치비,70평형,NR,,,,,,,,,
공통가설,1AAZB080,샘플하우스 설치비,80평형,NR,,,,,,,,,
공통가설,1AAZB090,샘플하우스 설치비,90평형,NR,,,,,,,,,
공통가설,1AAZB100,가설재 운반비,APT 연면적 1-500M2당 1RD,RD,,,,,,,,,
공통가설,1AAZB110,지게차 사용료,총연면적M2당,M2,,,,,,,,,
공통가설,1AAZC010,퍼티 균열보수,V-Cutting- 탄성에폭시,MZ,,,,,,,,,
공통가설,1AAZC020,건식 균열보수,건식 에폭시 주사기,MZ,,,,,,,,,
공통가설,1AAZC030,습식 균열보수,발포우레탄 패커주입,MZ,,,,,,,,,
공통가설,1AAZC040,레진 균열보수,V-Cutting- 폴리머계 레진퍼티,MZ,,,,,,,,,
공통가설,1AAZC050,아크릴배면차수,아크릴 주입,M2,,,,,,,,,
공통가설,1AAZC060,탄성실란트 균열보수,V-Cutting- 실리콘계 탄성실란트 퍼티,MZ,,,,,,,,,
공통가설,1AAZC070,무근콘크리트 균열보수,저점도 레진,EA,,,,,,,,,
공통가설,1AAZC080,퍼티 균열보수,V-Cutting- 탄성에폭시,MZ,,,,,,,,,
공통가설,1AAZC090,건식 균열보수,건식 에폭시 주사기,MZ,,,,,,,,,
공통가설,1AAZC100,습식 균열보수,발포우레탄 패커주입,MZ,,,,,,,,,
공통가설,1AAZC110,레진 균열보수,V-Cutting- 폴리머계 레진퍼티,MZ,,,,,,,,,
공통가설,1AAZC120,아크릴배면차수,아크릴 주입,M2,,,,,,,,,
공통가설,1AAZC130,탄성실란트 균열보수,V-Cutting- 실리콘계 탄성실란트 퍼티,MZ,,,,,,,,,
공통가설,1AAZC140,무근콘크리트 균열보수,저점도 레진,EA,,,,,,,,,
공통가설,1AAZC150,퍼티 균열보수,V-Cutting- 탄성에폭시,MZ,,,,,,,,,
공통가설,1AAZC160,건식 균열보수,건식 에폭시 주사기,MZ,,,,,,,,,
공통가설,1AAZC170,습식 균열보수,발포우레탄 패커주입,MZ,,,,,,,,,
공통가설,1AAZC180,레진 균열보수,V-Cutting- 폴리머계 레진퍼티,MZ,,,,,,,,,
